
2024/06/29 (07:58:26) | ===> btop++ v.1.3.2
2024/06/29 (07:58:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (13:34:58) | ===> btop++ v.1.3.2
2024/06/29 (13:34:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (13:35:21) | ===> btop++ v.1.3.2
2024/06/29 (13:35:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (23:32:25) | ===> btop++ v.1.4.0
2025/02/02 (23:32:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (23:32:48) | ===> btop++ v.1.4.0
2025/02/02 (23:32:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (10:45:30) | ===> btop++ v.1.4.0
2025/02/18 (10:45:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:10:37) | ===> btop++ v.1.4.0
2025/02/18 (12:10:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:10:42) | ===> btop++ v.1.4.0
2025/02/18 (12:10:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:10:47) | ===> btop++ v.1.4.0
2025/02/18 (12:10:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:10:53) | ===> btop++ v.1.4.0
2025/02/18 (12:10:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:10:58) | ===> btop++ v.1.4.0
2025/02/18 (12:10:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:11:03) | ===> btop++ v.1.4.0
2025/02/18 (12:11:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:11:08) | ===> btop++ v.1.4.0
2025/02/18 (12:11:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (12:12:06) | ===> btop++ v.1.4.0
2025/02/18 (12:12:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (14:03:43) | ===> btop++ v.1.4.0
2025/02/18 (14:03:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (14:06:53) | ===> btop++ v.1.4.0
2025/02/18 (14:06:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (18:58:08) | ===> btop++ v.1.4.0
2025/02/18 (18:58:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/18 (19:00:35) | ERROR: Stall in Runner thread, restarting!
2025/02/18 (20:29:41) | ERROR: Runner thread died unexpectedly!

2025/02/18 (20:29:48) | ===> btop++ v.1.4.0
2025/02/18 (20:29:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (23:56:02) | ===> btop++ v.1.4.0
2025/02/18 (23:56:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (12:47:36) | ===> btop++ v.1.4.0
2025/02/19 (12:47:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (19:35:24) | ===> btop++ v.1.4.0
2025/02/19 (19:35:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (22:35:59) | ===> btop++ v.1.4.0
2025/02/19 (22:35:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (23:20:53) | ===> btop++ v.1.4.0
2025/02/19 (23:20:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (22:24:54) | ===> btop++ v.1.4.0
2025/02/28 (22:24:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (12:23:32) | ===> btop++ v.1.4.0
2025/03/01 (12:23:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (14:25:01) | ===> btop++ v.1.4.0
2025/03/01 (14:25:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:38:55) | ===> btop++ v.1.4.0
2025/03/01 (17:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (17:39:29) | ===> btop++ v.1.4.0
2025/03/01 (17:39:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (13:58:41) | ===> btop++ v.1.4.0
2025/03/02 (13:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (21:40:21) | ===> btop++ v.1.4.0
2025/03/02 (21:40:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (21:41:35) | ===> btop++ v.1.4.0
2025/03/02 (21:41:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:28:58) | ===> btop++ v.1.4.0
2025/03/02 (22:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:29:04) | ===> btop++ v.1.4.0
2025/03/02 (22:29:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:29:08) | ===> btop++ v.1.4.0
2025/03/02 (22:29:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/02 (22:29:08) | ===> btop++ v.1.4.0
2025/03/02 (22:29:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/02 (22:29:09) | ===> btop++ v.1.4.0
2025/03/02 (22:29:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:29:14) | ===> btop++ v.1.4.0
2025/03/02 (22:29:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:29:44) | ===> btop++ v.1.4.0
2025/03/02 (22:29:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:32:05) | ===> btop++ v.1.4.0
2025/03/02 (22:32:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:32:10) | ===> btop++ v.1.4.0
2025/03/02 (22:32:10) | WARNING: Intel GPU: Failed to initialize PMU

